cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization,ticker_source,ticker_asof
1512886,0001161697-11-000803,10-Q,2011-09-02,2011-09-03,2011,Q2,2011-07-31,quarterly,NTRR,NEUTRA CORP.,30048,29448,,,,,,30048,,,,,,,,,-17387,,-17387,,,,,,,,,,,,,,,29448,,,,,2833,12000000,2011-07-31,single,,,,,instance,2011-09-02
1512886,0001161697-11-001072,10-Q,2011-12-15,2011-12-16,2012,Q3,2011-10-31,quarterly,NTRR,NEUTRA CORP.,26482,25676,,,,,,26482,,,,,,,,,-3772,,-3772,,,,,,,,,-3566,,,,,,25676,,,,,2833,12000000,2011-10-31,single,,,,,instance,2011-12-15
1512886,0001161697-12-000352,10-K,2012-05-10,2012-05-11,2011,FY,2012-01-31,annual,NTRR,NEUTRA CORP.,28852,-33816,,,,,,28852,,,,,,,,,-81216,,-81216,,,,,,,,,-68253,,,,,,-33816,,,,,2833,12000000,2012-01-31,single,,47205,,,instance,2012-05-10
1512886,0001161697-12-000352,10-K,2012-05-10,2012-05-11,2011,FY,2012-01-31,quarterly,NTRR,NEUTRA CORP.,28852,-33816,,,,,,28852,,,,,,,,,-59492,,-59492,,,,,,,,,-44835,,,,,,-33816,,,,,2833,12000000,2012-01-31,single,,47205,,,instance,2012-05-10
1512886,0000943440-12-000643,10-Q,2012-06-19,2012-06-20,2012,Q1,2012-04-30,quarterly,NTRR,NEUTRA CORP.,24937,-114915,,,,,,24937,,,,,,,,-81099,,,-81099,,,,,,,,,-76815,,,,,,-114915,,,,,2833,12000000,2012-04-30,single,,120105,,,instance,2012-06-19
1512886,0001161697-12-000764,10-Q/A,2012-10-11,2012-10-12,2012,Q2,2012-07-31,quarterly,NTRR,NEUTRA CORP.,9197,-170580,,,,,,9197,,,,,,,,-97783,,,-102870,,5087,,,,,,,-90985,,,,,,-170580,,,,,2833,600011,2012-07-31,single,,148145,,,instance,2012-10-11
1512886,0001161697-13-000172,10-Q/A,2013-03-07,2013-03-08,2013,Q3,2012-10-31,quarterly,NTRR,NEUTRA CORP.,7580,-181667,,,,,,7580,,,,,,,,-50645,,,-98077,,47432,3152982,,,,,,-50672,,,,,,-181667,,,,,2833,4949515,2012-10-31,single,,155878,,,instance,2013-03-07
1512886,0001161697-13-000674,10-K/A,2013-09-16,2013-09-17,2012,FY,2013-01-31,annual,NTRR,NEUTRA CORP.,7100,-265375,,,,,,7100,,,,,,,,-308055,-365754,,-365754,,57699,2339813,,,,,,-244732,,,,,,-265375,,,-308055,,2833,4949515,2013-01-31,single,,179485,,,instance,2013-09-16
1512886,0001161697-13-000674,10-K/A,2013-09-16,2013-09-17,2012,FY,2013-01-31,quarterly,NTRR,NEUTRA CORP.,7100,-265375,,,,,,7100,,,,,,,,-78528,,,-83708,,5180,,,,,,,-26260,,,,,,-265375,,,,,2833,4949515,2013-01-31,single,,179485,,,instance,2013-09-16
1512886,0001161697-13-000676,10-Q/A,2013-09-16,2013-09-17,2013,Q1,2013-04-30,quarterly,NTRR,NEUTRA CORP.,138943,-357457,,,,,,138943,,,,,,,,-187340,,,-218932,,31592,6070197,,,,,,-127137,,,,,,-357457,,,,,2833,7169515,2013-04-30,single,,333815,,,instance,2013-09-16
1512886,0001161697-13-000680,10-Q,2013-09-16,2013-09-17,2013,Q2,2013-07-31,quarterly,NTRR,NEUTRA CORP.,227616,-271248,,,,,,227616,,,,,,,,-242681,,,-274956,,32275,8617287,,,,,,-316445,,,,,,-271248,,,,,2833,9404515,2013-07-31,single,,400118,,,instance,2013-09-16
1512886,0001161697-13-000912,10-Q/A,2013-12-24,2013-12-25,2013,Q3,2013-10-31,quarterly,NTRR,NEUTRA CORP.,91087,-122128,,,,,,91087,,,,,,,,-273511,,,-349768,,76257,10841472,,,,,,-212299,,,,,,-122128,,,,,2833,11904515,2013-10-31,single,,,,,instance,2013-12-24
1512886,0001161697-14-000217,10-K/A,2014-05-23,2014-05-24,2014,FY,2014-01-31,annual,NTRR,NEUTRA CORP.,46551,-504756,,,,,,46551,,,,,,,,-965903,,,-1258284,,292381,9635748,,,,,,-800054,,,,,,-504756,,,,,2833,14904515,2014-01-31,single,,99637,,,instance,2014-05-23
