cik,adsh,form,filed,available_date,fy,fp,period_end,period_type,ticker,name,total_assets,stockholders_equity,goodwill_and_intangibles,goodwill,intangibles_excluding_goodwill,debt_noncurrent,debt_current,cash_and_equivalents,inventory,lease_liabilities,preferred_stock,total_deposits,gross_loans,total_revenue,gross_profit,operating_income,pretax_income,tax_provision,net_income,research_and_development,interest_expense,diluted_shares,interest_income,net_interest_income,credit_loss_provision,operating_expense,depreciation_amortization,operating_cash_flow,capital_expenditure,stock_based_compensation,dividends_paid,share_repurchase,free_cash_flow,tangible_book_value,total_debt,invested_capital,ebit,ebitda,sic,shares_outstanding,shares_asof,shares_source,long_term_debt,short_term_borrowings,depreciation,amortization,ticker_source,ticker_asof
1429592,0001185185-11-001293,10-Q,2011-08-15,2011-08-16,2011,Q2,2011-06-30,quarterly,GRDH,GUARDIAN 8 HOLDINGS,162267,128592,9310,,9310,,,142957,,,0,,,0,0,-89255,-89255,0,-89255,,0,,0,,,,,,,,,,,119282,,,-89255,,7381,26802318,2011-06-30,single,,,,129,instance,2011-08-15
1429592,0001185185-11-001973,10-Q,2011-11-14,2011-11-15,2011,Q3,2011-09-30,quarterly,GRDH,GUARDIAN 8 HOLDINGS,20285,3893,9181,,9181,,,11104,,,0,,,0,0,-277199,-277199,0,-277199,,0,,0,,,,,-131853,,,,,,-5288,,,-277199,,7381,27412318,2011-09-30,single,,,,129,instance,2011-11-14
1429592,0001185185-12-000566,10-K,2012-03-29,2012-03-30,2011,FY,2011-12-31,annual,GRDH,GUARDIAN 8 HOLDINGS,289917,-23408,9052,,9052,,,195894,,,0,,,0,0,-477410,-492680,0,-492680,,15270,,0,,,,,-378501,,90000,,,,-32460,,,-477410,,7381,27412318,2011-12-31,single,,,,3120,instance,2012-03-29
1429592,0001185185-12-000566,10-K,2012-03-29,2012-03-30,2011,FY,2011-12-31,quarterly,GRDH,GUARDIAN 8 HOLDINGS,289917,-23408,9052,,9052,,,195894,,,0,,,0,0,-55816,-71086,0,-71086,,15270,,0,,,,,-98776,,0,,,,-32460,,,-55816,,7381,27412318,2011-12-31,single,,,,2733,instance,2012-03-29
1429592,0001185185-12-000954,10-Q,2012-05-10,2012-05-11,2012,Q1,2012-03-31,quarterly,GRDH,GUARDIAN 8 HOLDINGS,54279,-333417,8923,,8923,,,,,,0,,,0,0,-424369,-477848,0,-477848,,53479,,0,,,,2249,-265889,-5005,102000,,,-270894,-342340,,,-424369,-422120,7381,26892318,2012-03-31,single,,,,,instance,2012-05-10
1429592,0001185185-12-001724,10-Q,2012-08-13,2012-08-14,2012,Q2,2012-06-30,quarterly,GRDH,GUARDIAN 8 HOLDINGS,307977,256643,8664,,8664,,,146160,,,0,,,0,0,-228223,-452973,0,-452973,,224750,,0,,,,2461,-203090,0,0,,,-203090,247979,,,-228223,-225762,7381,27087318,2012-06-30,single,,,,,instance,2012-08-13
1429592,0001185185-12-002612,10-Q,2012-11-19,2012-11-20,2012,Q3,2012-09-30,quarterly,GRDH,GUARDIAN 8 HOLDINGS,156539,50956,8013,,8013,,,25185,,,0,,,0,0,-354556,-355186,0,-355186,,630,,,,,,2875,-227975,0,33000,,,-227975,42943,,,-354556,-351681,7381,30382008,2012-09-30,single,,,,,instance,2012-11-19
1429592,0001185185-13-000627,10-K,2013-03-28,2013-03-29,2012,FY,2012-12-31,annual,GRDH,GUARDIAN 8 HOLDINGS,236562,-47513,7883,,7883,,,41855,,,0,,,0,0,-1487827,-1768450,0,-1768450,,280623,,,,,1487827,9897,-889074,-91215,409000,,,-980289,-55396,,,-1487827,-1477930,7381,30874508,2012-12-31,single,,,,,instance,2013-03-28
1429592,0001185185-13-000627,10-K,2013-03-28,2013-03-29,2012,FY,2012-12-31,quarterly,GRDH,GUARDIAN 8 HOLDINGS,236562,-47513,7883,,7883,,,41855,,,0,,,0,0,-480679,-482443,0,-482443,,1764,,,,,,2312,-192120,-86210,274000,,,-278330,-55396,,,-480679,-478367,7381,30874508,2012-12-31,single,,,,,instance,2013-03-28
1429592,0001185185-13-001104,10-Q,2013-05-15,2013-05-16,2013,Q1,2013-03-31,quarterly,GRDH,GUARDIAN 8 HOLDINGS,473737,-174534,17226,,17226,,,246699,700,,0,,,0,0,-571464,-579864,0,-579864,,8400,,0,,,,2825,-327348,-20687,91464,,,-348035,-191760,,,-571464,-568639,7381,33123002,2013-03-31,single,,,,,instance,2013-05-15
